poverty,pred,ci_lo,ci_hi
-1.635,-0.0040383366243418395,-0.8500059868464774,0.8419293135977938
-1.5818163265306122,-0.012378336600273068,-0.8337296262532422,0.808972953052696
-1.5286326530612244,-0.020718336576204293,-0.8175315477279034,0.7760948745754949
-1.4754489795918366,-0.02905833655213554,-0.8014192124231379,0.7433025393188668
-1.422265306122449,-0.03739833652806672,-0.7854010292676146,0.7106043562114812
-1.3690816326530613,-0.04573833650399794,-0.7694865045666605,0.6780098315586646
-1.3158979591836735,-0.05407833647992919,-0.7536864195246853,0.6455297465648269
-1.2627142857142857,-0.06241833645586042,-0.7380130415920901,0.6131763686803694
-1.2095306122448979,-0.07075833643179165,-0.722480376885936,0.5809637040223528
-1.1563469387755103,-0.07909833640772285,-0.7071044725866382,0.5489077997711924
-1.1031632653061225,-0.08743833638365409,-0.6919037802281142,0.517027107460806
-1.0499795918367347,-0.0957783363595853,-0.6768995932284446,0.48534292050927397
-0.9967959183673469,-0.10411833633551652,-0.6621165748870895,0.4538799022160565
-0.9436122448979593,-0.11245833631144773,-0.6475833963932259,0.42266672377033043
-0.8904285714285715,-0.12079833628737895,-0.6333335080438625,0.3917368354691046
-0.8372448979591838,-0.1291383362633102,-0.6194060705742906,0.3611293980476702
-0.784061224489796,-0.1374783362392414,-0.6058470766398462,0.3308904041613633
-0.7308775510204082,-0.14581833621517262,-0.5927106938601976,0.3010740214298523
-0.6776938775510205,-0.15415833619110386,-0.5800608582752794,0.2717441858930717
-0.6245102040816328,-0.16249833616703505,-0.5679731368302173,0.2429764644961472
-0.571326530612245,-0.17083833614296629,-0.5565368534943891,0.21486018120845657
-0.5181428571428572,-0.17917833611889752,-0.5458574264149999,0.18750075417720483
-0.46495918367346944,-0.18751833609482874,-0.536058779792144,0.1610221076024865
-0.41177551020408165,-0.19585833607075998,-0.5272855576204065,0.13556888547888662
-0.35859183673469386,-0.20419833604669121,-0.5197046626624479,0.1113079905690654
-0.3054081632653063,-0.2125383360226224,-0.5135053736597552,0.08842870161451044
-0.2522244897959185,-0.2208783359985536,-0.5088969986102446,0.0671403266131374
-0.1990408163265307,-0.22921833597448485,-0.5061028226114859,0.0476661506625162
-0.1458571428571429,-0.23755833595041612,-0.5053492329706418,0.03023256106980962
-0.09267346938775511,-0.2458983359263473,-0.5068496470412974,0.015052975188602824
-0.03948979591836754,-0.2542383359022785,-0.5107844052102659,0.002307733405708945
0.01369387755102025,-0.2625783358782097,-0.5172798498925532,-0.00787682186386629
0.06687755102040804,-0.270918335854141,-0.526391452764848,-0.01544521894343398
0.12006122448979584,-0.2792583358300722,-0.538095818328256,-0.020420853331888422
0.17324489795918363,-0.2875983358060034,-0.5522941005756277,-0.02290257103637916
0.2264285714285712,-0.2959383357819346,-0.5688257303002741,-0.023050941263595193
0.279612244897959,-0.30427833575786584,-0.5874883090040286,-0.02106836251170302
0.3327959183673468,-0.3126183357337971,-0.6080585572071598,-0.017178114260434363
0.38597959183673436,-0.32095833570972826,-0.6303102981108414,-0.011606373308615137
0.4391632653061224,-0.3292983356856596,-0.6540274927961088,-0.004569178575210331
0.49234693877550995,-0.3376383356615908,-0.6790121644372583,0.0037354931140767267
0.545530612244898,-0.345978335637522,-0.7050881142948395,0.013131443019795519
0.5987142857142855,-0.3543183356134532,-0.7321016755593925,0.02346500433248616
0.6518979591836731,-0.36265833558938443,-0.7599206512111456,0.03460398003237675
0.7050816326530611,-0.37099833556531564,-0.7884323058464502,0.04643563471581896
0.7582653061224487,-0.37933833554124685,-0.8175409922370176,0.05886432115452389
0.8114489795918367,-0.3876783355171782,-0.8471657605734519,0.0718090895390956
0.8646326530612243,-0.39601833549310933,-0.877238135473857,0.08520146448763832
0.9178163265306123,-0.4043583354690406,-0.90770014245633,0.09898347151824888
0.971,-0.4126983354449718,-0.9385026051956096,0.11310593430566596
