Poverty Quintile,Gini (WorldPop),Gini (Meta),ΔGini (Meta − WP)
Q1 (Lowest poverty),0.266,0.303,0.037
Q2,0.386,0.355,-0.031
Q3,0.372,0.538,0.166
Q4,0.406,0.615,0.209
Q5 (Highest poverty),0.331,0.752,0.421
