,coef,std_err,p
const,-0.26187025133416436,0.2643089629848951,0.32442347921658854
Poverty,-0.1305548551261848,0.2277784039763063,0.567945927913114
PopulationDensity,-0.07439657160450883,0.5036940814833405,0.8829048069220525
Poverty_x_PopDens,-0.047876683495883615,0.3248188565755106,0.8831463119229481
