X_pct,Y_WP,Y_Meta,Delta_Y_Meta_minus_WP
Top 10% of cells,0.7505,0.799,0.0486
Top 20% of cells,0.8488,0.886,0.0373
Top 50% of cells,0.9557,0.9656,0.0099
