cell_id,region,x_meta,x_wp,wealth,wealth_rank,x_coord,y_coord,area,distance_to_center,log_density,p_meta,p_wp,residual,pop_meta,pop_worldpop
13233002322131,PHI_CagayandeOroCity,1890.7879520227689,3148.16455078125,0.598,0.6842105263157895,678079.9260765879,942899.0367762807,5813767.502031162,14219.508737132657,-7.521164490267894,0.014213088678825425,0.0034942330565021548,1.4030493450247086,1890.7879520227689,3148.16455078125
13233002322132,PHI_CagayandeOroCity,4089.743282074593,37302.78125,1.55,0.968421052631579,675670.7665330031,940485.6853070772,5814296.553345448,12071.297214178874,-5.049007198372229,0.03074267734759456,0.04140336670485303,-0.29771036720428073,4089.743282074593,37302.78125
13233002322133,PHI_CagayandeOroCity,6031.5810369396395,43766.66015625,1.264,0.8947368421052632,678089.9784150822,940495.7226647901,5814419.728800937,11816.191087082254,-4.889223927401491,0.04533950835673056,0.04857780088169426,-0.06898785288261929,6031.5810369396395,43766.66015625
13233002322233,PHI_CagayandeOroCity,23.9243161385519,342.8937072753906,-0.15,0.43157894736842106,668451.0656655128,930842.196428575,5816529.815554913,9974.952002759992,-9.738793882441463,0.00017983953541438738,0.00038058700792219425,-0.7496495418259245,23.9243161385519,342.8937072753906
13233002322301,PHI_CagayandeOroCity,1772.1172650545475,11014.8095703125,0.849,0.7684210526315789,673261.3342646393,938072.3868591301,5814825.656812452,10606.522418333634,-6.268925390981804,0.013321038887810012,0.012225635315698502,0.08580965340363172,1772.1172650545475,11014.8095703125
13233002322302,PHI_CagayandeOroCity,288.6369185664871,618.1275024414062,-0.971,0.010526315789473684,670851.6299588771,935659.1407563637,5815354.812930166,10126.395620795365,-9.149317608106385,0.002169689157994062,0.0006860764478235936,1.1513500299501231,288.6369185664871,618.1275024414062
13233002322303,PHI_CagayandeOroCity,1406.1020538050825,9439.1708984375,0.736,0.7263157894736842,673271.0647597637,935668.8548455077,5815474.667341612,8545.725009377677,-6.423409541966158,0.010569695645051318,0.010476791300857437,0.008828546729703146,1406.1020538050825,9439.1708984375
13233002322310,PHI_CagayandeOroCity,3911.2067074289794,23679.31640625,1.091,0.8631578947368421,675680.6576110489,938082.2622416505,5814947.172103116,9731.113373577295,-5.503585038528678,0.02940061455036919,0.02628231428422546,0.11211932449161481,3911.2067074289794,23679.31640625
13233002322311,PHI_CagayandeOroCity,6809.809671797916,35348.3359375,1.324,0.9157894736842105,678100.005848537,938092.274704461,5815070.375401223,9412.748757470908,-5.102956849939357,0.05118946767544118,0.039234074945193195,0.2659881728093231,6809.809671797916,35348.3359375
13233002322312,PHI_CagayandeOroCity,3193.768295923931,23635.353515625,0.893,0.8,675690.5241156877,935678.7056668855,5815596.210029798,7431.302244007314,-5.5055549679401885,0.024007616486568552,0.026233518681834492,-0.08866679814913504,3193.768295923931,23635.353515625
13233002322313,PHI_CagayandeOroCity,5954.566599866786,40116.140625,1.386,0.9263157894736842,678110.0083698472,935688.6932276441,5815719.441106638,7009.191406548035,-4.9765410162213435,0.04476058938144557,0.04452599043349687,0.0052549775739176895,5954.566599866786,40116.140625
13233002322320,PHI_CagayandeOroCity,163.68590498401895,903.4400634765625,-0.432,0.2,670861.2005487643,933255.4998000506,5816002.215013005,8638.869495775978,-8.769913909367114,0.0012304300334281676,0.001002752582797827,0.20461490912215005,163.68590498401895,903.4400634765625
13233002322321,PHI_CagayandeOroCity,618.5838096089559,3067.7919921875,0.062,0.5578947368421052,673280.7710133067,933265.1896620076,5816122.096378647,6716.669741396682,-7.5474309301305675,0.004649906157828553,0.003405025378013991,0.3115946376860062,618.5838096089559,3067.7919921875
13233002322322,PHI_CagayandeOroCity,98.15269103974876,434.2905578613281,-0.307,0.29473684210526313,670870.7472290879,930851.7260132824,5816648.034941262,7633.556177620485,-9.502520916524356,0.0007378156288346453,0.0004820308465227871,0.42568578710308985,98.15269103974876,434.2905578613281
13233002322323,PHI_CagayandeOroCity,428.2248643160102,1165.9599609375,-0.545,0.1,673290.4530183891,930861.3916411317,5816767.943197465,5362.177536129357,-8.51495530172866,0.003218974377582265,0.001294130523468017,0.911223687129115,428.2248643160102,1165.9599609375
13233002322330,PHI_CagayandeOroCity,1528.1703478632066,2786.72900390625,-0.221,0.37894736842105264,675700.366039928,933275.0159152079,5816243.6664007995,5225.629159131198,-7.643541406208185,0.01148728531261023,0.0030930659588762994,1.3120779564133693,1528.1703478632066,2786.72900390625
13233002322331,PHI_CagayandeOroCity,3733.805863225262,28238.63671875,1.421,0.9368421052631579,678119.9859719251,933284.9785667817,5816366.92519067,4605.5481636543755,-5.327739969520848,0.028067089060285343,0.03134282732099325,-0.11038776481978399,3733.805863225262,28238.63671875
13233002322332,PHI_CagayandeOroCity,1459.7347872126006,8351.517578125,0.441,0.6421052631578947,675710.1833767946,930871.1933191366,5816889.540488772,3308.3726251054995,-6.5460776864125885,0.010972853913112696,0.00926957543759927,0.16868681602402885,1459.7347872126006,8351.517578125
13233002322333,PHI_CagayandeOroCity,1604.8623889576209,10848.7265625,0.646,0.6947368421052632,678129.9386476997,930881.13105441,5817012.8269292,2201.9739111172576,-6.284494443397841,0.012063780831247768,0.012041295289419473,0.0018656276421646894,1604.8623889576209,10848.7265625
13233002323020,PHI_CagayandeOroCity,2201.9744338592072,40.11506652832031,-0.515,0.11578947368421053,680499.0264842472,942909.2367908405,5813892.336983213,14415.605437241493,-11.884008854392025,0.01655228332900347,4.452479826462691e-05,5.918230798560397,2201.9744338592072,40.11506652832031
13233002323022,PHI_CagayandeOroCity,8135.738064384228,57229.546875,1.435,0.9473684210526315,680509.2155240809,940505.8974508838,5814544.592043052,12051.442587207963,-4.621047427037671,0.06115649639774698,0.06352062329449491,-0.037928535825234325,8135.738064384228,57229.546875
13233002323023,PHI_CagayandeOroCity,6346.204287101872,38494.12890625,0.979,0.8210526315789474,682928.478203037,940516.2096727379,5814671.143216154,12749.952325702834,-5.017633776442831,0.047704537259200534,0.04272567571859944,0.11022646945581795,6346.204287101872,38494.12890625
13233002323123,PHI_CagayandeOroCity,2818.705224447038,30748.240234375,1.095,0.8736842105263158,692605.7914797221,940558.8330688466,5815194.230058723,18680.3730370852,-5.242396701488235,0.02118826030791799,0.03412830419857084,-0.4766798041237085,2818.705224447038,30748.240234375
13233002323132,PHI_CagayandeOroCity,1759.3427150819864,18992.923828125,1.28,0.9052631578947369,695025.1871545939,940569.8325836933,5815329.223075576,20611.449620651703,-5.724186199829768,0.013225012354851703,0.021080760299962947,-0.46625087561743916,1759.3427150819864,18992.923828125
13233002323133,PHI_CagayandeOroCity,389.2340424501024,1166.07568359375,-0.492,0.14736842105263157,697444.6104580038,940580.9695806758,5815465.9049050035,22636.671648470405,-8.514632188400672,0.002925879634595596,0.0012942589671768297,0.8156568169140513,389.2340424501024,1166.07568359375
13233002323200,PHI_CagayandeOroCity,11629.128945541222,85912.25,1.216,0.8842105263157894,680519.3793202176,938102.4242548236,5815195.266868767,9706.415617955945,-4.214903217739973,0.08741638150573286,0.09535633194077195,-0.08693804058165093,11629.128945541222,85912.25
13233002323201,PHI_CagayandeOroCity,10219.45858957638,77972.625,1.037,0.8421052631578947,682938.7783692278,938112.7109001011,5815321.846649253,10561.19976487703,-4.3118936075325145,0.07681986286608089,0.08654392722566728,-0.11918887630528731,10219.45858957638,77972.625
13233002323202,PHI_CagayandeOroCity,7145.60784443102,42743.95703125,1.635,1.0,680529.5178654558,935698.8175350282,5815844.360733988,7398.872933042599,-4.91311342892432,0.053713668869295676,0.047442674998431224,0.1241453701243621,7145.60784443102,42743.95703125
13233002323203,PHI_CagayandeOroCity,4782.384269936872,25868.6875,0.919,0.8105263157894737,682949.0529457484,935709.0785963833,5815970.969055348,8489.305075692964,-5.41532976716598,0.0359492727104133,0.028712356527993442,0.22478128152029347,4782.384269936872,25868.6875
13233002323210,PHI_CagayandeOroCity,4181.555633007588,28174.45703125,1.493,0.9578947368421052,685358.2033387169,938123.1346477554,5815450.114868534,11856.370986099433,-5.329857679336753,0.03143283252032347,0.03127159254847705,0.005142869152943679,4181.555633007588,28174.45703125
13233002323211,PHI_CagayandeOroCity,1596.7114651484064,7259.833984375,0.765,0.7368421052631579,687777.6545718537,938133.6955053478,5815580.0717007145,13465.462234265,-6.68593885294508,0.012002510183319865,0.008057886264752328,0.3984645336829627,1596.7114651484064,7259.833984375
13233002323212,PHI_CagayandeOroCity,2682.456053509546,12552.248046875,0.787,0.7473684210526316,685368.613953974,935719.476419154,5816099.26619727,10055.052909440654,-6.138485310068307,0.020164072721531468,0.013932079899673527,0.36970835303632327,2682.456053509546,12552.248046875
13233002323213,PHI_CagayandeOroCity,1706.0562896778906,20768.134765625,1.588,0.9789473684210527,687788.2012334001,935730.011010884,5816229.252333431,11910.124992786186,-5.634987606362439,0.012824457290580345,0.023051114974891596,-0.58636006318849,1706.0562896778906,20768.134765625
