cell_id,region,x_meta,x_wp,wealth,wealth_rank,x_coord,y_coord,area,distance_to_center,log_density,p_meta,p_wp,residual,pop_meta,pop_worldpop
02331003231133,MEX,5479.026868209329,9321.4482421875,0.788,0.24166666666666667,484098.0426529625,2163921.4037125283,5279759.185810437,26982.132412949017,-6.339317759493912,0.002354062412358883,0.0007935885764551923,1.087332555980818,5479.026868209329,9321.4482421875
02331003231311,MEX,11120.40986764526,69582.921875,1.217,0.6166666666666667,484096.012999625,2161630.3309780774,5281098.976788942,24696.811553194846,-4.329370332713917,0.0047778810925969955,0.00592399490740667,-0.21501387054591511,11120.40986764526,69582.921875
02331003231312,MEX,12696.28507570897,64636.2578125,1.073,0.4375,481788.76044745685,2159341.1563007776,5282448.014469158,22717.03965070765,-4.40336938857209,0.005454955449613858,0.005502856905074089,-0.008742942142732184,12696.28507570897,64636.2578125
02331003231313,MEX,13831.860705412124,80474.46875,1.641,0.9291666666666667,484093.9851553225,2159338.969466704,5282437.7402662225,22412.37738951914,-4.184202987650951,0.0059428552118482025,0.006851255023576963,-0.14224215509949292,13831.860705412124,80474.46875
02331003231320,MEX,11205.3437718454,56472.921875,1.499,0.8833333333333333,477175.3975506424,2157054.7598659624,5283810.480750824,21871.596859822526,-4.538641533951877,0.004814372921569863,0.0048078650993538035,0.0013526630829377687,11205.3437718454,56472.921875
02331003231321,MEX,15098.596102618936,55187.7734375,1.301,0.6979166666666666,479480.9203465237,2157051.9844632773,5283797.42299699,21055.412832493068,-4.561658894042678,0.006487107732723972,0.004698453010958204,0.3225834677740492,15098.596102618936,55187.7734375
02331003231322,MEX,13519.59515833844,74471.296875,1.397,0.775,477172.4932158391,2154762.8149308134,5285147.203213567,19792.425995960224,-4.262241976635307,0.0058086904039867885,0.006340170426128289,-0.08755050606977781,13519.59515833844,74471.296875
02331003231323,MEX,17487.924916477175,100171.9453125,0.984,0.3458333333333333,479478.30938414193,2154760.0420075306,5285134.138792058,18886.4881853232,-3.965765116475506,0.0075136822115068926,0.008528214652473146,-0.1266543824366111,17487.924916477175,100171.9453125
02331003231330,MEX,12592.661040288556,35701.1171875,1.101,0.475,481786.44078167004,2157049.5043209353,5283785.754399191,20467.94604288918,-4.997216136655146,0.005410433410816143,0.003039441729500943,0.5766553311941561,12592.661040288556,35701.1171875
02331003231331,MEX,12596.885331857377,46389.09375,1.189,0.5791666666666667,484091.95912133437,2157047.319437339,5283775.474944474,20129.2306889203,-4.735331790132587,0.005412248376546409,0.003949370732489246,0.31510833809083094,12596.885331857377,46389.09375
