cell_id,region,x_meta,x_wp,wealth,wealth_rank,x_coord,y_coord,area,distance_to_center,log_density,p_meta,p_wp,residual,pop_meta,pop_worldpop
30011010220033,KEN_Nairobi,73.38481554202454,8604.5732421875,1.283,0.8116883116883117,237300.90269131964,9874826.163337627,5945904.028893467,28051.14293936871,-6.538164028713278,0.0004921879391241752,0.0009916178905549618,-0.7004771061353882,73.38481554202454,8604.5732421875
30011010220210,KEN_Nairobi,24.89374286083317,4745.83056640625,0.482,0.17316017316017315,234856.27786107964,9872393.883388702,5946004.229939242,28782.92003273477,-7.133208257867541,0.00016696097013116685,0.0005469243346221634,-1.1865499755095164,24.89374286083317,4745.83056640625
30011010220211,KEN_Nairobi,78.94330456719669,9724.3046875,1.151,0.6861471861471862,237302.90027368523,9872395.923229102,5945814.158670982,26682.14845047899,-6.415814358701976,0.0005294684206206968,0.0011206592389794128,-0.749798774460343,78.94330456719669,9724.3046875
30011010220212,KEN_Nairobi,19.9029802647021,7382.9365234375,0.418,0.14285714285714285,234858.33283861523,9869963.622902077,5945912.627379944,27664.70385479758,-6.6912878467227275,0.00013348819870425302,0.0008508326601925808,-1.8522017639042636,19.9029802647021,7382.9365234375
30011010220213,KEN_Nairobi,53.81249953768308,12127.7470703125,0.972,0.5303030303030303,237304.93624516105,9869965.701569628,5945722.562027491,25471.912220115613,-6.194931369208831,0.0003609174875069162,0.0013976394445786623,-1.3538904102359106,53.81249953768308,12127.7470703125
30011010220231,KEN_Nairobi,57.774293061452575,11016.787109375,0.612,0.23593073593073594,237307.0106042663,9867535.498710375,5945629.239072667,24444.020882904802,-6.290991436591753,0.0003874890197141519,0.001269608949404937,-1.186776526705284,57.774293061452575,11016.787109375
30011010220233,KEN_Nairobi,83.6547052812495,6096.666015625,0.994,0.5411255411255411,237309.12334949104,9865105.315002507,5945534.189906774,23622.284214559,-6.882653593464895,0.0005610675272029941,0.0007025988301420141,-0.22494477126146795,83.6547052812495,6096.666015625
30011010220300,KEN_Nairobi,78.47791252738733,10825.984375,0.984,0.5367965367965368,239749.4837784053,9872397.944116546,5945625.856427258,24645.2950414496,-6.3084618729149105,0.0005263470616956058,0.0012476202464620175,-0.8630322948276121,78.47791252738733,10825.984375
30011010220302,KEN_Nairobi,57.735613763411756,9741.724609375,0.819,0.37662337662337664,239751.50074533987,9869967.760923466,5945534.265644684,23329.673038562818,-6.413977506553776,0.0003872295997803571,0.001122666765174742,-1.0644442070734317,57.735613763411756,9741.724609375
30011010220303,KEN_Nairobi,47.89170386337692,8972.05859375,0.93,0.4805194805194805,242198.02670231674,9869969.80096513,5945347.738000773,21253.26447867112,-6.496249152557954,0.0003212070351553763,0.0010339680500421984,-1.169073056043131,47.89170386337692,8972.05859375
