,coef,std_err,std_err_HC3,t,t_HC3,p,p_HC3,beta_standardized,partial_R2
const,-0.24415594747392927,0.10252836728116918,0.10786683313786244,-2.381350195545073,-2.2634941656429133,0.019287187699588707,0.023605243860753248,,
Poverty,-0.663286916635456,0.22909346893084412,0.4118147005816199,-2.895267681488034,-1.6106440972084615,0.004720982256360563,0.10725731662811733,-0.6173720298736166,0.0763407752377202
Distance,-0.32152404260075224,0.1045774927031421,0.08749677045369518,-3.0745051759219684,-3.674696116594479,0.00276775534684555,0.00023813267146353565,-0.2992670982272572,0.08608541507365197
PopulationDensity,-0.6684996261855087,0.23092976001913446,0.5065453318135221,-2.8948180006341233,-1.3197231998805743,0.004727181830100859,0.1869274512573731,-0.622223898643141,0.07631706322014076
