Version,Class,N_cells,Area_share,WP_pop_share,Meta_pop_share
median,HH,102,0.4463836801352426,0.8405972250920809,0.9189760198931043
median,LH,15,0.0642258949485186,0.022752929644026382,0.030087269853208753
median,LL,101,0.42585313240693773,0.10000571477044902,0.041874838426097336
median,HL,15,0.06353729250930105,0.036644130493443824,0.009061871827589798
quartile,HH,47,0.20671196638331044,0.6518791062409225,0.7742567435077129
quartile,LH,1,0.004396985237591373,0.0009470549597936305,0.0038364180908797814
quartile,LL,41,0.17272420361497354,0.024951749510263802,0.011138237642961561
quartile,HL,0,0.0,0.0,0.0
quartile,other,144,0.6161668447641246,0.3222220892890201,0.2107686007584459
