X_pct,Y_WP,Y_Meta,Delta_Y_Meta_minus_WP
Top 10% of cells,0.6382,0.682,0.0438
Top 20% of cells,0.8079,0.8714,0.0635
Top 50% of cells,0.9377,0.9816,0.044
