Metric,Value,Input
Number of quadkeys,309,—
Spearman ρ (log shares),0.886,log(meta_share) vs log(wp_share)
Pearson r (log shares),0.873,log(meta_share) vs log(wp_share)
KS statistic,0.340,"shares normalized [0,1]"
KS p-value,< 0.001,"shares normalized [0,1]"
Earth Mover's Distance,0.014,"shares normalized [0,1]"
Gini (WorldPop),0.734,spatial shares
Gini (Meta baseline),0.809,spatial shares
ΔGini (Meta − WP),0.075,spatial shares
Mean allocation_residual,-0.980,log(meta_share/wp_share)
