Poverty Quintile,Gini (WorldPop),Gini (Meta),ΔGini (Meta − WP)
Q1 (Lowest poverty),0.432,0.455,0.024
Q2,0.305,0.499,0.194
Q3,0.331,0.515,0.184
Q4,0.335,0.415,0.080
Q5 (Highest poverty),0.321,0.351,0.030
