Specification,τ,SE,p
Baseline SEM,-0.1611,0.108,0.1359
Continuous poverty,-0.181,0.0555,0.0011
Top vs Bottom quintile,-1.1559,0.2398,0.0
Drop top 5% density,-0.1986,0.1163,0.0879
Drop central 10%,-0.1937,0.1237,0.1173
