Model,tau,SE,p_value,exp_tau
OLS (covariate-adjusted),-0.24381243157521135,0.11665823170464147,0.036620319822483725,0.7836346055874216
SLM (spatial lag),-0.1272671123543438,0.09691484313991043,0.18912063782507726,0.88049844916926
SEM (spatial error),-0.14072789157083543,0.07212026205468237,0.051021988536135134,0.8687256671157125
