Variable,SLM_coef,SLM_SE,SLM_p,SLM_sig,SEM_coef,SEM_SE,SEM_p,SEM_sig
Constant,-0.01348483416099968,0.04089427634094086,0.7415898581513976,,-0.37129434811658757,0.2284745421924722,0.10414090827397007,
T (poverty top quartile),-0.1272671123543438,0.09691484313991043,0.18912063782507726,,-0.14072789157083543,0.07212026205468237,0.051021988536135134,
Distance (z),-0.4150031056970717,0.04730683601808039,1.746150219004501e-18,***,-0.8358752506813921,0.1188972993373748,2.061947291459272e-12,***
Log Population Density (z),-0.5658790677603535,0.04815312370578873,6.924622322600748e-32,***,-0.8442008820370104,0.037307208845585894,2.2793293134914676e-113,***
Spatial parameter,0.5762443610176922,0.05318616353685178,2.363072261236713e-27,***,0.8989648490707859,0.029201421956899176,4.1649015665095295e-208,***
