X_pct,Y_WP,Y_Meta,Delta_Y_Meta_minus_WP
Top 10% of cells,0.6593,0.7086,0.0493
Top 20% of cells,0.8176,0.883,0.0653
Top 50% of cells,0.9416,0.9821,0.0406
