Specification,τ,SE,p
Baseline SEM,-0.0634,0.1434,0.658
Continuous poverty,-0.0926,0.1235,0.4535
Top vs Bottom quintile,-1.5944,0.7163,0.026
Drop top 5% density,-0.1635,0.1568,0.2971
Drop central 10%,-0.1808,0.162,0.2644
