,coef,std_err,std_err_HC3,t,t_HC3,p,p_HC3,beta_standardized,partial_R2
const,-0.9825859724807195,0.04158449216885373,0.04202063592160929,-23.628663504917448,-23.383415099042338,3.636174281887811e-62,6.303508921566635e-121,,
Poverty,-0.5691697686622421,0.07160231756500181,0.08429040529621858,-7.949041148640756,-6.752485845358441,9.871817130453135e-14,1.4533324575855343e-11,-0.77789333403441,0.2041026979302888
Distance,-0.04226266232784854,0.04226712377026803,0.041815805086068074,-0.9998944465101591,-1.0106863240074109,0.3184651027634427,0.31216658466992286,-0.057761049713955924,0.0032294425847415598
PopulationDensity,-0.2409441277108369,0.0710079625225834,0.09455449547585319,-3.393198722385633,-2.5482038320681206,0.0008198011984326831,0.010827918415843355,-0.3293021540155271,0.03719099904847145
