Model,tau,SE,p_value,exp_tau
OLS (covariate-adjusted),-0.19503424867082056,0.11164374841331529,0.08064880486175852,0.8228064775452502
SLM (spatial lag),-0.09879726701776978,0.09697762245811177,0.3083152336860866,0.9059263505584498
SEM (spatial error),-0.10622304753689375,0.0733111318638507,0.14735580164541084,0.8992240559951656
