Variable,SLM_coef,SLM_SE,SLM_p,SLM_sig,SEM_coef,SEM_SE,SEM_p,SEM_sig
Constant,0.02247930294354221,0.04036463202245506,0.5775917026913351,,-0.2645469080992691,0.21428456177965033,0.216994721460828,
T (poverty top quartile),-0.09879726701776978,0.09697762245811177,0.3083152336860866,,-0.10622304753689375,0.0733111318638507,0.14735580164541084,
Distance (z),-0.38824991502123873,0.04599644151548189,3.1498831696465044e-17,***,-0.8234306612828097,0.11811614277942449,3.138819900153224e-12,***
Log Population Density (z),-0.544560263112459,0.04773605588464811,3.825625302202714e-30,***,-0.8111104917574958,0.037117083478302164,7.318396478495873e-106,***
Spatial parameter,0.5302599561594177,0.05840932202623769,1.1023860643503277e-19,***,0.8910862305836929,0.030745461891831256,1.0873926755286576e-184,***
