Specification,τ,SE,p
Baseline SEM,-0.1407,0.0721,0.051
Continuous poverty,-0.1779,0.0361,0.0
Top vs Bottom quintile,-0.5496,0.2194,0.0122
Drop top 5% density,-0.1474,0.078,0.0587
Drop central 10%,-0.1022,0.0812,0.2079
