X_pct,Y_WP,Y_Meta,Delta_Y_Meta_minus_WP
Top 10% of cells,0.4754,0.7381,0.2627
Top 20% of cells,0.6031,0.843,0.2398
Top 50% of cells,0.8002,0.9422,0.142
