Version,Class,N_cells,Area_share,WP_pop_share,Meta_pop_share
median,HH,1170,0.33858665302579066,0.7362868503621448,0.862767226222705
median,LH,558,0.16134898437292192,0.045214180160757234,0.07945059992245243
median,LL,1169,0.3383336987971553,0.0918787456538674,0.03858437413358838
median,HL,558,0.16173066380413215,0.12662022382323052,0.019197799721254075
quartile,HH,592,0.17126071442133864,0.5841034728162969,0.7877006645041006
quartile,LH,58,0.016763687049364803,0.0025614744577369727,0.019645978881336047
quartile,LL,310,0.08967531547548452,0.013561951782057421,0.008388096470256927
quartile,HL,46,0.013314568186520718,0.020713347374674826,0.001279808253634539
quartile,other,2449,0.7089857148672913,0.3790597535692337,0.1829854518906718
