,coef,std_err,std_err_HC3,t,t_HC3,p,p_HC3,beta_standardized,partial_R2
const,0.1174510002492804,0.04322191853418901,0.04418314349159837,2.717394420064333,2.658276233143399,0.007423430071431586,0.007854148812736033,,
Poverty,-0.46957973490513205,0.05783464794009525,0.05951386000147398,-8.1193497605712,-7.890258418686033,2.336257824504191e-13,3.015614362180291e-15,-0.4946342768368523,0.1366470641849581
Distance,-0.6299635177627867,0.049811171312898306,0.05355140915852527,-12.647032807270312,-11.76371504805673,7.937405181623783e-25,6.003339270356808e-32,-0.6635753757669027,0.33153936061019995
PopulationDensity,-1.076490119803667,0.062229360553964136,0.07781980512784833,-17.29874950056983,-13.83311250953567,2.257701399581212e-36,1.6090473704256286e-43,-1.1339265141811892,0.6202792096947051
