Variable,Model_1_Bivariate,Model_2_Controlled,beta_standardized,partial_R2
Log pop density (std),—,"-1.076*** (SE=0.062, HC3=0.078)",-1.1339,0.6203
Constant,0.117,0.117** (0.043),—,—
Observations,142,142,—,—
