Statistic,Value
N total,239
N treated (T=1),60
N control (T=0),179
Poverty 75th percentile (cutoff),0.4955
E[Y|T=1] (mean outcome treated),-1.4025
E[Y|T=0] (mean outcome control),-0.8262
τ_naive (unadjusted ATE),-0.5763
