,coef,std_err,std_err_HC3,t,t_HC3,p,p_HC3,beta_standardized,partial_R2
const,-0.012702061250562769,0.037072541296712,0.03764695783316201,-0.34262720618209486,-0.3373994070610913,0.7321945916355783,0.7358158315705998,,
Poverty,-0.2088075696707306,0.050247499644093446,0.05021809842427648,-4.155581295581456,-4.158014266222965,4.59109999871442e-05,3.210259799747407e-05,-0.23937245106463198,0.031190629309494344
Distance,-0.5977750186738949,0.041594774470191664,0.05220284600677114,-14.37139703936326,-11.451004387698681,8.942651294137562e-34,2.32436567894615e-30,-0.6852762647964195,0.373042701280757
PopulationDensity,-0.7350527915061251,0.05163301237144055,0.06618256225443148,-14.236101241164468,-11.106442036503463,2.492045553892011e-33,1.1671791626140413e-28,-0.8426485143339365,0.36605193534581926
