Variable,Model_1_Bivariate,Model_2_Controlled,beta_standardized,partial_R2
Log pop density (std),—,"-0.735*** (SE=0.052, HC3=0.066)",-0.8426,0.3661
Constant,-0.013,-0.013 (0.037),—,—
Observations,232,232,—,—
