Poverty Quintile,Gini (WorldPop),Gini (Meta),ΔGini (Meta − WP)
Q1 (Lowest poverty),0.455,0.438,-0.017
Q2,0.427,0.382,-0.046
Q3,0.490,0.441,-0.049
Q4,0.540,0.487,-0.053
Q5 (Highest poverty),0.620,0.521,-0.099
