poverty,pred,ci_lo,ci_hi
-2.257,0.24771231982890593,0.19707248379807024,0.2983521558597416
-2.1855510204081634,0.23046953585618193,0.1813513419204165,0.2795877297919474
-2.1141020408163267,0.21322675188345802,0.16562848194508864,0.26082502182182743
-2.04265306122449,0.1959839679107341,0.1499037338610555,0.24206420196041273
-1.9712040816326533,0.17874118393801017,0.1341769047185129,0.22330546315750743
-1.8997551020408165,0.16149839996528628,0.1184477746740511,0.20454902525652147
-1.8283061224489796,0.14425561599256226,0.10271609220000738,0.18579513978511714
-1.756857142857143,0.12701283201983837,0.08698156824774395,0.1670440957919328
-1.6854081632653062,0.10977004804711449,0.07124386909302359,0.14829622700120537
-1.6139591836734695,0.09252726407439057,0.05550260750951284,0.12955192063926832
-1.5425102040816328,0.07528448010166669,0.039757331805968604,0.11081162839736478
-1.4710612244897958,0.05804169612894269,0.024007512112945308,0.09207588014494006
-1.399612244897959,0.0407989121562188,0.008252523100320576,0.07334530121211702
-1.3281632653061224,0.023556128183494902,-0.0075083779747218,0.054620634341711605
-1.2567142857142857,0.006313344210770961,-0.0232760793804845,0.03590276780202642
-1.185265306122449,-0.010929439761952925,-0.03905165122201556,0.017192771698109705
-1.1138163265306122,-0.028172223734676854,-0.05483639275752625,-0.0015080547118274598
-1.0423673469387755,-0.04541500770740074,-0.07063189461452224,-0.020198120800279246
-0.9709183673469388,-0.06265779168012464,-0.08644012134369841,-0.03887546201655087
-0.8994693877551021,-0.07990057565284854,-0.10226352193682725,-0.05753762936886984
-0.8280204081632654,-0.09714335962557245,-0.11810517901479065,-0.07618154023635426
-0.7565714285714285,-0.11438614359829641,-0.1339690116478228,-0.09480327554877004
-0.6851224489795917,-0.13162892757102032,-0.1498600524215881,-0.11339780272045255
-0.613673469387755,-0.14887171154374423,-0.16578482624570523,-0.13195859684178324
-0.5422244897959183,-0.16611449551646817,-0.18175186511174407,-0.15047712592119228
-0.4707755102040816,-0.1833572794891921,-0.1977723948244816,-0.16894216415390256
-0.3993265306122449,-0.20060006346191597,-0.21386121408065986,-0.18733891284317208
-0.32787755102040816,-0.21784284743463989,-0.23003772441922624,-0.20564797045005354
-0.25642857142857123,-0.23508563140736385,-0.24632690699949517,-0.22384435581523254
-0.1849795918367345,-0.25232841538008777,-0.26275970832680207,-0.24189712243337347
-0.1135306122448978,-0.26957119935281165,-0.2793718019605581,-0.2597705967450652
-0.042081632653061085,-0.28681398332553554,-0.29619940253527954,-0.27742856411579153
0.02936734693877563,-0.3040567672982595,-0.3132716856019217,-0.29484184899459726
0.10081632653061234,-0.3212995512709834,-0.3306021148035037,-0.3119969877384631
0.17226530612244906,-0.3385423352437073,-0.3481836526092365,-0.3289010178781781
0.24371428571428577,-0.35578511921643124,-0.36599132596242673,-0.34557891247043576
0.3151632653061225,-0.37302790318915513,-0.3839902320965554,-0.36206557428175484
0.3866122448979592,-0.390270687161879,-0.4021438921773293,-0.3783974821464287
0.4580612244897959,-0.40751347113460296,-0.42041958142921443,-0.3946073608399915
0.5295102040816326,-0.4247562551073268,-0.43879038179434615,-0.4107221284203074
0.6009591836734693,-0.4419990390800507,-0.45723518308471317,-0.4267628950753883
0.6724081632653065,-0.4592418230527748,-0.47573781649746266,-0.4427458296080869
0.7438571428571432,-0.47648460702549866,-0.49428600749446266,-0.45868320655653466
0.8153061224489799,-0.4937273909982226,-0.5128704383240417,-0.4745843436724036
0.8867551020408166,-0.5109701749709465,-0.5314839997365414,-0.49045635020535167
0.9582040816326534,-0.5282129589436704,-0.5501212244031126,-0.5063046934842281
1.02965306122449,-0.5454557429163943,-0.5687778681990978,-0.5221336176336908
1.1011020408163268,-0.5626985268891183,-0.5874506036362463,-0.5379464501419902
1.1725510204081635,-0.5799413108618422,-0.6061367956296831,-0.5537458260940012
1.244,-0.597184094834566,-0.6248343368675308,-0.5695338528016013
