,coef,std_err,p
const,-0.36222695670146965,0.005785792585140028,0.0
Poverty,-0.140657979997094,0.005654865987953698,2.107907262925085e-135
PopulationDensity,-0.3027627881468796,0.018930789153187518,2.2713279947337108e-57
Poverty_x_PopDens,-0.11303666244188455,0.007234432287928207,7.538644619793083e-55
