Poverty Quintile,Gini (WorldPop),Gini (Meta),ΔGini (Meta − WP)
Q1 (Lowest poverty),0.683,0.723,0.040
Q2,0.524,0.615,0.091
Q3,0.473,0.559,0.086
Q4,0.441,0.529,0.088
Q5 (Highest poverty),0.429,0.498,0.069
