Model,tau,SE,p_value,exp_tau
OLS (covariate-adjusted),-0.9328257297089595,0.2843344843426873,0.0010353744355533936,0.3934403819538207
SLM (spatial lag),-0.7207007420243274,0.19318251107988516,0.000190969098957967,0.48641128767813874
SEM (spatial error),-0.16553881567293494,0.14525374688095355,0.25443104660070004,0.8474369687303049
