Variable,SLM_coef,SLM_SE,SLM_p,SLM_sig,SEM_coef,SEM_SE,SEM_p,SEM_sig
Constant,0.38947295868056453,0.09082800906548727,1.8026715451069428e-05,***,0.1444055964867773,0.7266627449427491,0.842478359390676,
T (poverty top quartile),-0.7207007420243274,0.19318251107988516,0.000190969098957967,***,-0.16553881567293494,0.14525374688095355,0.25443104660070004,
Distance (z),-0.4107284246904012,0.08444826076475058,1.1522929716889296e-06,***,-0.638090514111396,0.1302398355649977,9.615431682169399e-07,***
Log Population Density (z),-1.013245817524373,0.0947769580273201,1.1234209857583952e-26,***,-1.1387463539207958,0.06919699989502102,7.522581085322976e-61,***
Spatial parameter,0.47991116891780766,0.12618205936312019,0.0001427678266662605,***,0.9266945374818858,0.039400078643490495,2.5394203201075526e-122,***
