Version,Class,N_cells,Area_share,WP_pop_share,Meta_pop_share
median,HH,113,0.4502994312873192,0.8492682127512056,0.922177136778053
median,LH,15,0.05817949619243041,0.01991523999474398,0.027255323264300132
median,LL,113,0.433988974725646,0.09682902786844928,0.0430391715880401
median,HL,15,0.057532097794604255,0.033987519385601336,0.0075283683696068
quartile,HH,51,0.20469684333454596,0.6569992814710636,0.7786997996039173
quartile,LH,0,0.0,0.0,0.0
quartile,LL,45,0.17238994041932965,0.02293404063301953,0.009258982897719226
quartile,HL,0,0.0,0.0,0.0
quartile,other,160,0.6229132162461243,0.32006667789591714,0.21204121749836355
