Metric,Value,Input
Number of quadkeys,334,—
Spearman ρ (log shares),0.890,log(meta_share) vs log(wp_share)
Pearson r (log shares),0.871,log(meta_share) vs log(wp_share)
KS statistic,0.329,"shares normalized [0,1]"
KS p-value,< 0.001,"shares normalized [0,1]"
Earth Mover's Distance,0.016,"shares normalized [0,1]"
Gini (WorldPop),0.746,spatial shares
Gini (Meta baseline),0.819,spatial shares
ΔGini (Meta − WP),0.074,spatial shares
Mean allocation_residual,-0.993,log(meta_share/wp_share)
