Estimator,tau,se_robust,exp_tau
Naive (diff-in-means),-0.576315085455148,,0.5619653501901152
1. Covariate-adjusted regression,-0.4421509113524278,0.11811152366977606,0.6426526445574701
2. IPW,-0.4243516752205469,0.26156969098997235,0.6541937777092012
3. Doubly Robust (Double ML),-0.5742062444702808,0.11272308739960905,0.5631516962205761
