City,N_Cells,Spearman ρ,Pearson r,ΔGini (Meta−WP),Top 10% WP,Top 10% Meta,Δ Top 10%,Mean Residual
Cagayan de Oro,98,0.8410,0.8360,-0.0010,0.5433,0.5351,-0.0081,-0.2080
Davao City,309,0.8860,0.8730,0.0750,0.6382,0.6820,0.0438,-0.9800
Nairobi,142,0.7760,0.7650,-0.0270,0.3722,0.3553,-0.0169,0.1170
Mombasa,56,0.7680,0.7130,-0.0790,0.3976,0.3444,-0.0532,0.3150
Mexico City,259,0.9370,0.9240,-0.0090,0.2523,0.2562,0.0039,0.3860
