Specification,τ,SE,p
Baseline SEM,-0.1352,0.0085,0.0
Continuous poverty,-0.18,0.0049,0.0
Top vs Bottom quintile,-0.398,0.0168,0.0
Drop top 5% density,-0.1391,0.0087,0.0
Drop central 10%,-0.124,0.0089,0.0
