Estimator,tau,se_robust,exp_tau
Naive (diff-in-means),0.1141440925761803,,1.1209136285805494
1. Covariate-adjusted regression,-0.24381243157521107,0.11665823170464153,0.7836346055874218
2. IPW,-0.4838505008580259,0.4451121371097111,0.6164053470948041
3. Doubly Robust (Double ML),-0.28822362128157375,0.11836322774973618,0.7495939483359808
