Variable,SLM_coef,SLM_SE,SLM_p,SLM_sig,SEM_coef,SEM_SE,SEM_p,SEM_sig
Constant,-0.04181993060332623,0.03945448040782858,0.2891655699737824,,-0.58146734546057,1.1076839301129007,0.5996250627631935,
T (poverty top quartile),-0.21536628723843515,0.07482444433904793,0.003998401457678679,**,-0.14067204176733114,0.05312843633168461,0.008102389907627155,**
Distance (z),-0.018654060193923228,0.0292864562772717,0.5241562590141354,,-0.08812948692291682,0.13441305871869758,0.5120418536402256,
Log Population Density (z),-0.1604519710533543,0.03462450832132392,3.5856689892230097e-06,***,-0.5654193935277111,0.03321701798155166,5.643035389170632e-65,***
Spatial parameter,0.9025329960190827,0.02546886754416821,4.6468396046444484e-275,***,0.980802682687686,0.007928190140751275,0.0,***
