Specification,τ,SE,p
Baseline SEM,-0.1655,0.1453,0.2544
Continuous poverty,-0.1602,0.0919,0.0812
Top vs Bottom quintile,-1.4752,0.3761,0.0001
Drop top 5% density,-0.1466,0.1509,0.3313
Drop central 10%,-0.2801,0.1459,0.055
